,start_longitude,start_latitude,end_longitude,end_latitude,start_longitude_utm,start_latitude_utm,end_longitude_utm,end_latitude_utm,hour,daytype
1153,4.82024,52.38174,4.92214,52.34598,116397.66993604795,488359.4905168423,123310.02807872488,484331.3197534611,23,weekday
1144,4.86527,52.38472,4.9018,52.35779,119465.93157773571,488668.01959857193,121932.85274808438,485654.4185954612,23,weekday
1148,4.828869999999999,52.38035,4.91284,52.40437,116984.05223285177,488200.2730297816,122718.84664574891,490832.08813927433,23,weekday
1156,4.92132,52.36728,4.87049,52.334270000000004,123269.38591423296,486701.57841710147,119781.29404661132,483052.27457471285,23,weekday
1142,4.90225,52.36848,4.92981,52.39774,121971.46623633607,486843.6139477442,123869.01105964523,490086.9828850285,23,weekday
1150,4.884469999999999,52.38608,4.86076,52.374990000000004,120774.13100560266,488810.09593600885,119151.0231551853,487587.6518958842,23,weekday
1151,4.82578,52.380829999999996,4.91445,52.36869,116774.07658253083,488255.3046575643,122802.50944251883,486861.4893171389,23,weekday
1147,4.91291,52.370709999999995,4.96397,52.375609999999995,122699.09781814393,487086.9261225287,126179.59540532486,487610.5860653549,23,weekday
1146,4.91742,52.37023,4.94506,52.35947,123005.8934895707,487031.51929838385,124880.96295879621,485822.48409274593,23,weekday
1157,4.91775,52.33956,4.88894,52.3666,123006.26560983289,483618.94233339396,121063.5406534977,486640.58863276395,23,weekday
3223,4.83783,52.390859999999996,4.8493900000000005,52.36851,117602.97936357549,489364.9836400264,118371.4260512956,486872.35478685034,23,weekday
3221,4.89171,52.37552,4.848380000000001,52.35139,121258.98702969325,487631.7612861452,118288.47802070712,484968.05284993484,23,weekday
3224,4.88746,52.36708,4.91397,52.33333,120963.10818714608,486694.6888608417,122744.13254068104,482927.4525824133,23,weekday
3219,5.00801,52.351040000000005,4.88962,52.36987,129164.2049319895,484860.23805575806,121112.35247095424,487004.10024338035,23,weekday
3212,4.8901699999999995,52.38803,4.909669999999999,52.36535,121163.66763504296,489024.38261272036,122474.51659550979,486492.0049924873,23,weekday
3233,4.90609,52.36843,4.93098,52.40633,122232.95551854844,486836.30774144706,123954.66011050342,491042.23861962766,23,weekday
3240,4.9158,52.36067,4.8669,52.363440000000004,122888.64796457089,485968.56080622063,119559.90399831004,486299.5471001434,23,weekday
3216,4.85361,52.37082,4.86028,52.37745,118660.72362491378,487127.24712498504,119120.32743222252,487861.5961682271,23,weekday
3225,4.89278,52.35757,4.83247,52.35407,121318.22378984012,485634.0941930808,117206.78441431004,485274.4128559216,23,weekday
3253,4.90074,52.35627,4.84039,52.3746,121859.50814096999,485485.783315525,117763.58961174422,487554.5310215963,23,weekday
3220,4.89093,52.38147,4.99397,52.35991,121210.40657781958,488294.1406342934,128212.97223690277,485852.2404666747,23,weekday
3227,4.87954,52.359970000000004,4.93741,52.39987,120418.15283884524,485907.3596858188,124387.7455282404,490320.7371688811,23,weekday
3231,4.8579300000000005,52.36449,4.98227,52.35998,118949.78057035258,486420.7969343438,127416.02015511444,485864.4170295623,23,weekday
3241,4.8898,52.375240000000005,4.9536,52.31684,121128.71191938285,487601.4985934136,125434.33554280187,481075.84026842826,23,weekday
3263,4.8781099999999995,52.36593,4.84971,52.37135,120325.40108820633,486571.1688406507,118395.5633890403,487188.1790813974,23,weekday
3255,4.88962,52.36987,4.93001,52.3699,121112.35247095424,487004.10024338035,123863.08091522564,486989.31903821026,23,weekday
3254,4.90599,52.36354,4.87374,52.32699,122222.53243316374,486292.2768619497,119997.0708450799,482240.7132979062,23,weekday
3235,4.8481,52.373909999999995,4.92529,52.36215,118288.03947912058,487473.82605335425,123536.13580452409,486129.06797026086,23,weekday
3257,4.8502,52.35686,4.98524,52.3646,118416.98710886171,485575.73746181914,127621.18473761725,486377.3280315718,23,weekday
3262,4.92805,52.36972,5.0062,52.35354,123729.47076289324,486970.1355141066,129042.34626358765,485139.0430356551,23,weekday
3239,4.87863,52.36545,4.93381,52.359809999999996,120360.4433036383,486517.51403746457,124114.85218487533,485865.04785830056,23,weekday
3236,4.8446,52.370020000000004,4.927980000000001,52.33668,118046.45873926884,487042.7930588825,123701.41296043963,483294.0403640334,23,weekday
3248,4.89625,52.34875,4.859,52.34904,121547.96172296119,484651.15075555636,119010.13225232842,484701.2604133522,23,weekday
3244,4.89899,52.35496,4.926480000000001,52.3385,121739.30846061306,485340.83074457996,123600.46789340087,483497.18683618377,23,weekday
3243,4.89963,52.36533,4.87763,52.38815,121790.67126675183,486494.33278600685,120310.0926495319,489043.66348439123,23,weekday
3245,4.8681,52.3702,4.88962,52.35843,119647.0273768931,487051.0971265791,121103.61365943996,485731.253291174,23,weekday
3268,4.89467,52.357209999999995,4.92277,52.35504,121446.70310805496,485593.16299231496,123359.41546817248,485339.08528280846,23,weekday
3265,4.87406,52.36253,4.87413,52.390240000000006,120046.87886828194,486194.82093667414,120073.47510380826,489277.8850489289,23,weekday
3269,4.84339,52.36935,4.906540000000001,52.343,117963.49455123459,486968.86478351546,122244.8395143896,484006.6918833266,23,weekday
7078,4.90549,52.37793,4.84505,52.37552,122199.11779098064,487893.579233278,118081.68323383896,487654.50852107053,23,weekday
7085,4.824269999999999,52.379690000000004,4.92203,52.35465,116670.28071089766,488129.26279455516,123308.72337149631,485296.01605182927,23,weekday
7075,4.87804,52.36551,4.88673,52.34637,120320.30511427973,486524.4719600127,120897.47836129676,484390.78228923597,23,weekday
7081,4.886769999999999,52.4034,4.88825,52.361090000000004,120944.02103241289,490736.0962307742,121012.32514380748,486027.85376493016,23,weekday
7077,4.8466,52.377320000000005,4.87331,52.38187,118188.72405506349,487853.9930415167,120011.05153030141,488347.00746922236,23,weekday
7066,4.92994,52.39782,4.9135,52.3538,123877.91515385696,490095.82815400313,122726.98128003183,485205.20642138354,23,weekday
7072,4.934159999999999,52.366859999999996,4.88815,52.37178,124143.59703577255,486649.30391939456,121013.70360043042,487217.3009128847,23,weekday
7065,4.88008,52.3662,4.89203,52.3654,120459.78718305279,486600.2691044353,121273.08403216158,486505.6307397582,23,weekday
7091,4.90046,52.345240000000004,4.94054,52.36377,121832.19204145248,484258.68461121764,124576.00992770627,486302.8034639597,23,weekday
7092,4.88941,52.36638,4.83246,52.35432,121095.38357009328,486615.89082145854,117206.31603941374,485302.2336147847,23,weekday
7080,4.86603,52.374970000000005,4.8887599999999996,52.36922,119509.87096579964,487582.83274291083,121053.28598883928,486932.18179230194,23,weekday
7098,4.88512,52.349909999999994,4.858569999999999,52.34908,120790.50181724224,484785.4100720231,118980.8664770059,484705.92450102,23,weekday
7094,4.90296,52.37531,4.92962,52.39756,122024.89900708964,487603.21770496253,123855.9530072053,490067.0370296727,23,weekday
7089,4.89724,52.34316,4.86373,52.3606,121611.21225902159,484028.7369667492,119341.70237954691,485985.116147773,23,weekday
7095,4.91244,52.35564,4.89272,52.36042,122656.10618458048,485410.40246821137,121316.29985893573,485951.22092323354,23,weekday
25789,4.87689,52.39595,4.87895,52.3804,120265.82876972851,489911.8723695871,120393.90432796246,488180.74243889085,23,weekday
25812,4.87999,52.36633,4.88127,52.37981,120453.7585857753,486614.77616745856,120551.40871854039,488113.9918251428,23,weekday
25806,4.8731599999999995,52.36864,4.9594,52.37147,119990.39737676992,486875.0707884584,125865.68192401245,487151.78215339466,23,weekday
25801,4.93952,52.36218,4.95404,52.307140000000004,124505.44177517747,486126.3236717262,125457.8893721225,479996.4181356641,23,weekday
25795,4.92195,52.371829999999996,4.94362,52.361959999999996,123315.54364992092,487207.55033366,124784.56599753558,486100.12867740326,23,weekday
25788,4.87676,52.39598,4.879,52.38048,120257.00403272729,489915.2725980097,120397.37111857574,488189.6196137943,23,weekday
25804,4.878080000000001,52.39577,4.87524,52.36914,120346.68358331121,489891.2751743555,120132.44961159615,486929.6994586606,23,weekday
25794,4.88558,52.35327,4.83927,52.36047,120824.43082068392,485159.035186684,117675.43549686679,485982.9675316306,23,weekday
25813,4.88923,52.37222,4.93849,52.36907,121087.58868995454,487265.7507176137,124440.02880623401,486893.36111762933,23,weekday
25822,4.91078,52.3679,4.92695,52.33805,122551.98444977275,486775.22822142276,123632.18140257744,483446.9152170782,23,weekday
25790,4.87702,52.39593,4.8791199999999995,52.38069,120274.6613528495,489909.5847917163,120405.70540784989,488212.9275804998,23,weekday
25802,4.8773,52.39888,4.87425,52.372640000000004,120296.02893506907,490237.6779886328,120067.78234971169,487319.59630433377,23,weekday
25815,4.8981699999999995,52.36861,4.929869999999999,52.39776,121693.69230711018,486859.9453208583,123873.10876156845,490089.1823874383,23,weekday
25797,4.859380000000001,52.37835,4.87365,52.38196,119059.77416688408,487962.1787792771,120034.27142335963,488356.8570433432,23,weekday
25810,4.84936,52.36855,4.86907,52.38027,118369.41591613501,486876.82045513496,119721.09797597484,488171.04219346406,23,weekday
25805,4.88375,52.39836,4.8747,52.37059,120734.60739733811,490176.7512466183,120096.81400428685,487091.29054527683,23,weekday
25800,4.87392,52.370740000000005,4.83114,52.36094,120043.81232935886,487108.355916084,117122.039319222,486039.4787947627,23,weekday
25814,4.9301900000000005,52.397940000000006,4.89626,52.3677,123895.0145710907,490109.0724770402,121562.9248259259,486759.57547886536,23,weekday
25821,4.85311,52.3904,4.91675,52.36783,118642.72911941439,489306.0262663809,122958.53099327821,486764.7837235552,23,weekday
25807,4.8894,52.37187,4.87711,52.38547,121098.89819393324,487226.7291245659,120272.59439072604,488745.72699990077,23,weekday
25819,4.91218,52.36679,4.87397,52.36444,122646.52436881549,486651.1003296307,120042.25344971611,486407.37612713006,23,weekday
25823,4.89099,52.346540000000005,4.85923,52.348290000000006,121187.88283781326,484407.7012017605,119025.19555307647,484617.6995329405,23,weekday
25820,4.85076,52.38369,4.8614,52.36651,118477.23324246194,488560.6328013963,119187.7587959782,486643.82712529897,23,weekday
25808,4.9539800000000005,52.31733,4.92404,52.3517,125460.57171507765,481130.2038822973,123443.56149173088,484966.9137318068,23,weekday
25827,4.8937800000000005,52.35999,4.95874,52.31774,121388.17934638774,485902.88582535024,125785.39970968605,481173.89274063875,23,weekday
25831,4.89626,52.3677,4.85723,52.37277,121562.9248259259,486759.57547886536,118908.8393935432,487342.40050746436,23,weekday
25834,4.87063,52.364059999999995,4.92585,52.35908,119814.45853147548,486366.7125599494,123572.1062839815,485787.24753319833,23,weekday
25825,4.9187199999999995,52.34715,4.92434,52.373290000000004,123077.8292428013,484462.99773222394,123479.34185638728,487368.95254215103,23,weekday
25830,4.89377,52.3595,4.95579,52.31689,121387.12699062313,485848.3717019608,125583.69442115191,481080.5125882356,23,weekday
25833,4.88456,52.3802,4.8921,52.379909999999995,120775.72016625019,488155.82560422784,121288.88108666497,488120.0250922393,23,weekday
27539,4.895,52.38007,4.91931,52.33871,121486.45773075364,488136.48213350365,123111.9695711222,483523.6818358879,23,weekday
27547,4.877190000000001,52.39235,4.92214,52.34597,120283.42852614779,489511.1802509148,123310.02094021678,484330.2071267327,23,weekday
27528,4.88168,52.36058,4.92957,52.355579999999996,120564.40035195553,485974.21101098123,123823.05513534081,485396.2206158169,23,weekday
27536,4.94541,52.35751,4.89409,52.35795,124903.47565589716,485604.263020882,121407.75190732323,485675.76607281686,23,weekday
27543,4.89184,52.400490000000005,5.00323,52.35302,121286.83153730052,490409.9478911027,128839.69629986548,485082.253773983,23,weekday
27527,4.869330000000001,52.37079,4.858969999999999,52.38408,119731.2631399135,487116.14289847115,119036.50439849435,488599.9191681708,23,weekday
27535,4.93746,52.34881,4.88725,52.36719,124355.89334577158,484639.6062208746,120948.88996577235,486707.0264241262,23,weekday
27546,4.90078,52.37395,4.929819999999999,52.39775,121875.43563980276,487452.8939562999,123869.6986922991,490088.0912278048,23,weekday
27541,4.89504,52.38008,4.92035,52.338429999999995,121489.18880494428,488137.57626845693,123182.64656272564,483492.0713552482,23,weekday
27525,4.89496,52.38015,4.92474,52.343920000000004,121483.7946742475,488145.4016920052,123485.73086965762,484100.9851606899,23,weekday
